name x1 y1 x2 y2 x3 y3 x4 y4 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727032001_02101_00004_nrcalong_cal.fits 150.441838 2.399284 150.427917 2.366403 150.394869 2.380431 150.408790 2.413312 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727032001_02101_00001_nrcblong_cal.fits 150.416857 2.342064 150.402773 2.309193 150.369699 2.323288 150.383783 2.356160 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727061001_02101_00002_nrcblong_cal.fits 150.248738 2.300464 150.234655 2.267593 150.201582 2.281688 150.215665 2.314560 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727038001_02101_00004_nrcblong_cal.fits 150.524752 2.317404 150.510668 2.284533 150.477595 2.298628 150.491678 2.331500 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727024001_02101_00001_nrcblong_cal.fits 150.280230 2.391753 150.266145 2.358882 150.233071 2.372977 150.247155 2.405849 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727024001_02101_00002_nrcalong_cal.fits 150.301308 2.435661 150.287387 2.402780 150.254338 2.416807 150.268259 2.449688 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727023001_02101_00004_nrcalong_cal.fits 150.338219 2.539561 150.324297 2.506680 150.291246 2.520707 150.305167 2.553589 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727057001_02101_00003_nrcblong_cal.fits 150.185827 2.337919 150.171743 2.305047 150.138670 2.319142 150.152753 2.352014 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727023001_02101_00002_nrcalong_cal.fits 150.334315 2.526249 150.320393 2.493368 150.287342 2.507395 150.301263 2.540277 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727023001_02101_00003_nrcalong_cal.fits 150.339733 2.538859 150.325811 2.505978 150.292760 2.520005 150.306681 2.552886 
